item_id,name,category
1,Financial Model,Financial Model
2,Capital Needs,Financial Model
3,Select Funding,Financial Model
4,Valuation Calculator,Financial Model
5,Top Incubators,Financial Model
6,Data Room Checklist,Preparation
7,Investor Due Diligence Scorecard,Preparation
8,Pitch Deck Writer,Preparation
9,Pitch Deck,Preparation
10,How to Reach Investors (CD),Investor Outreach
11,Cold Email Writer,Investor Outreach
12,Investor Lists,Investor Outreach
13,Tutorial on Sales Navigator,Investor Outreach
14,Tutorial on Instantly.AI,Investor Outreach
15,Pitch Competition and Event Finder,Investor Outreach
16,Investor Prep Questions,Investor Pitching & Engagement
17,Terms Sheet,Investor Pitching & Engagement
18,Dos and Donts of Investor Pitches,Investor Pitching & Engagement
19,Investor Update Writer,Ongoing Investor Communication
20,Nurturing Strategy,Ongoing Investor Communication
